ward_id,MAE,RMSE,MAPE
W104,3345.214525387673,3929.5849096024335,80.03692793598705
W105,880.0403031547927,919.1350147345638,163.7435238155793
W106,1571.1672528524089,1970.6218105731577,62.45580421803281
W107,5117.091769991559,5511.898591505345,132.885554880254
W108,2183.711857831818,2349.5751268230915,130.85689946020494
W109,1342.4285439115788,1462.431215034349,136.41161637883457
W110,4277.362649834268,4634.604022780828,189.23064002848398
W111,1077.9747564424456,1505.7159858234193,57.13796676491667
W112,3505.432574656004,3683.0279211371776,170.58932183750593
W113,2717.5325200086327,3094.5054963554267,105.08363541537176
W114,913.6900711673892,994.4295825986225,104.3819556836332
W115,1621.8705583706533,2064.205292219065,69.28711108450823
W116,2093.099205896037,2579.8919222046216,61.036532052846525
W117,3163.0298006924313,3245.4712473168956,157.47416062669356
W118,969.9075278497721,1119.3289659440225,73.89382996924373
W119,1659.4234747802711,1894.4980489602597,94.25057766725327
W120,1887.581551365133,2956.254054532347,35.71438888976983
W121,645.7945078054955,768.7639611804849,76.81157151025573
W122,2694.2666031874123,3013.207309088815,113.84619757296541
W123,1183.9574011708964,1291.1901578940938,114.16999789609798
W124,2294.2534766534195,2435.8107637895673,211.61231074978008
W125,2259.356989668286,2429.9507175304634,125.48031024204371
W126,849.0170392167412,1046.335360208962,83.44799725114095
W127,7283.845118740752,7749.6152390859115,314.8965080913804
W128,1563.7948123270555,1649.4019425650017,277.1177694504586
W129,3001.6423619665143,3190.267434425818,153.58511482193796
W130,263.4544433916423,313.65276776116053,57.29668169820794
W131,2559.3557893129987,2847.823319183959,109.87852917875689
W132,2512.486510194733,2791.3152442597584,108.39462769267885
W133,2802.5174332286274,3081.582662551954,120.3554784092429
W134,3306.1136271216783,3941.3622951207235,89.19624851228126
W135,3676.157289094332,4108.103335058172,178.83511651801564
W136,2330.010524944942,2679.666788237387,128.07580859881494
W137,635.3012603356018,904.0566085601514,52.423363407755474
W138,3116.531357722706,4188.609821326146,59.56157921623516
W139,507.369392987974,688.7389059806246,67.96097114846948
W140,734.522403785251,811.1291845774175,128.75991050246864
W141,2931.7187527639167,3879.6702723127714,60.931646999719234
W142,2535.1894017594286,2775.7694978056793,162.99591804523865
W143,1402.0867098697554,1623.8272177832118,106.63031525352531
W144,2424.4115135744655,3133.466930778345,77.46175925838513
W145,2566.2478714667845,2910.1183647011944,115.46958982199523
W146,4596.188283700396,4859.695613858007,148.0388461039063
W147,4116.803250310719,4620.093277729156,100.16146168824662
W148,4209.704215143224,4930.11628495519,102.52926438811596
W149,7388.435851663923,7864.363212042961,181.56823410778833
W150,1358.5775743086065,1403.790948983679,247.1443641534448
W151,2566.83825591059,2927.6584876995908,85.75562419911816
W152,3226.4035929036904,4069.900980713142,88.30450951371466
W153,886.7221072371703,1055.5925043251098,130.6483407972054
W154,3230.7788555842526,3394.566081354591,124.73805797303157
W155,4515.932996602091,4834.175859375246,133.72288857627524
